pgs_id	total	label	performance	applicability	match_confidence	performance_source	trait	method_name	variants_number	performance_detail	applicability_detail	match_detail
PGS000029	38	uncertain	18	5	15	measured	Breast cancer	composite likelihood ratio	76	AUROC=0.720 (2 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000030	57	likely	12	30	15	measured	Prostate cancer	Genome-wide significant variants	147	AUROC=0.620 (7 studies), 16 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000031	67	confident	22	30	15	measured	Type 2 diabetes (T2D)	Genome-wide significant variants	62	AUROC=0.770 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000032	66	confident	21	30	15	measured	Type 2 diabetes (based on SNPs involved in β-cell function)	Genome-wide significant variants	20	AUROC=0.764 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000033	55	likely	10	30	15	partial	Type 2 diabetes (based on SNPs involved in insulin resistance)	Genome-wide significant variants	10	3 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000034	55	likely	10	30	15	partial	Adult body mass index (BMI)	Genome-wide significant variants	97	9 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000035	51	likely	6	30	15	measured	Atrial fibrillation	Pruning and Thresholding (P+T)	1168	AUROC=0.580 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000036	58	likely	19	24	15	measured	Type 2 diabetes (T2D)	Pruning and Thresholding (P+T)	171249	AUROC=0.707 (16 studies), 22 evals	gwas=6/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000037	48	likely	9	24	15	measured	Asthma	Pruning and Thresholding (P+T)	15	AUROC=0.610 (1 studies)	gwas=6/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000038	55	likely	10	30	15	partial	Stroke	Clumping and Thresholding (C+T)	90	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000039	58	likely	13	30	15	measured	Ischemic stroke	metaGRS of 19 component PGSs	3225583	AUROC=0.641 (5 studies), 25 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000040	68	confident	30	23	15	measured	Coeliac disease	SparSNP	228	AUROC=0.870 (7 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000041	55	likely	17	23	15	measured	Coeliac disease	SparSNP	2513	AUROC=0.718 (1 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000042	56	likely	18	23	15	measured	Coeliac disease	SparSNP	3317	AUROC=0.730 (1 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000043	53	likely	8	30	15	measured	Venous thromboembolism	Pruning + Clumping	297	OR=1.13 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000044	55	likely	10	30	15	partial	Prostate cancer	Known susceptibility loci (genome-wide significant SNPs)	66	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000045	52	likely	7	30	15	measured	Breast cancer	Known susceptibility loci (genome-wide significant SNPs)	88	AUROC=0.590 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000046	52	likely	7	30	15	measured	Estrogen receptor [ER]-positive breast cancer	Known susceptibility loci (genome-wide significant SNPs)	87	AUROC=0.590 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000047	49	likely	4	30	15	measured	Estrogen receptor [ER]-negative breast cancer	Known susceptibility loci (genome-wide significant SNPs)	53	AUROC=0.550 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000048	55	likely	10	30	15	partial	Ovarian cancer	Known susceptibility loci (genome-wide significant SNPs)	17	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000049	55	likely	10	30	15	measured	Prostate cancer	Known susceptibility loci (genome-wide significant SNPs)	103	AUROC=0.620 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000050	28	uncertain	8	5	15	measured	Breast cancer	Genome-wide significant variants	44	AUROC=0.606 (1 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000051	55	likely	14	26	15	measured	Breast cancer	Hard thresholding	67	AUROC=0.678 (2 studies)	gwas=12/12, eval=6/10, pop_eval=8/8	cov=?; Z=?
PGS000052	55	likely	10	30	15	partial	Breast cancer	Genome-wide significant variants	161	1 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000053	53	likely	8	30	15	measured	Alzheimer's disease (late onset)	Genome-wide significant variants	21	OR=1.29 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000054	49	likely	20	14	15	measured	Alzheimer's disease (late onset)	Genome-wide significant variants	21	OR=1.73 (2 studies)	gwas=12/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000055	57	likely	12	30	15	measured	Colorectal cancer	Known susceptibility variants (genome-wide significant SNPs)	76	AUROC=0.650 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000056	55	likely	10	30	15	partial	Parkinson's disease	Genome-wide significant variants	23	3 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000057	43	likely	14	14	15	measured	Coronary heart disease	Hard thresholding	57	OR=1.32 (1 studies)	gwas=12/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000058	52	likely	10	27	15	partial	Coronary artery disease	Genome-wide significant variants	204	2 evals (no AUROC/R²/OR)	gwas=9/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000059	55	likely	10	30	15	partial	Coronary heart disease	Literature-derived SNP selection	46	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000060	55	likely	10	30	15	partial	HDL cholesterol	Genome-wide significant variants	46	4 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000061	55	likely	10	30	15	partial	Low-density lipoprotein (LDL) cholesterol	Genome-wide significant variants	37	4 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000062	55	likely	10	30	15	partial	Total cholesterol	Genome-wide significant variants	52	4 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000063	55	likely	10	30	15	partial	Triglycerides	Genome-wide significant variants	32	4 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000064	55	likely	10	30	15	partial	HDL cholesterol	Established Lipid Loci; independent genome-wide significant variants	120	5 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000065	55	likely	10	30	15	partial	LDL cholesterol	Established Lipid Loci; independent genome-wide significant variants	103	5 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000066	55	likely	10	30	15	partial	Triglycerides (TG)	Established Lipid Loci; independent genome-wide significant variants	101	5 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000067	48	likely	10	23	15	partial	Prostate cancer	Polygenic Hazard Score	54	26 evals (no AUROC/R²/OR)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000068	59	likely	14	30	15	measured	Epithelial ovarian cancer	Genome-wide significant variants	15	OR=1.32 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000069	59	likely	14	30	15	measured	Serous epithelial ovarian cancer	Genome-wide significant variants	15	OR=1.43 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000070	63	confident	18	30	15	measured	Lung cancer	Genomewide-significant SNPs, filtered to be specific to Chinese ancestry individuals	19	AUROC=0.726 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000071	69	confident	24	30	15	measured	Bladder cancer	Genome-wide significant variants	15	AUROC=0.803 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000072	56	likely	11	30	15	measured	Breast cancer	Genome-wide significant variants	187	AUROC=0.637 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000073	65	confident	20	30	15	measured	Cervical cancer	Genome-wide significant variants	10	AUROC=0.745 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000074	61	confident	16	30	15	measured	Colorectal cancer	Genome-wide significant variants	103	AUROC=0.704 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000075	65	confident	20	30	15	measured	Endometrial cancer	Genome-wide significant variants	9	AUROC=0.755 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000076	63	confident	18	30	15	measured	Kidney cancer	Genome-wide significant variants	19	AUROC=0.722 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000077	63	confident	18	30	15	measured	Lymphocytic leukemia	Genome-wide significant variants	75	AUROC=0.719 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000078	73	confident	28	30	15	measured	Lung cancer	Genome-wide significant variants	109	AUROC=0.846 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000079	57	likely	12	30	15	measured	Melanoma	Genome-wide significant variants	24	AUROC=0.652 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000080	59	likely	14	30	15	measured	Non-Hodgkin's lymphoma	Genome-wide significant variants	19	AUROC=0.677 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000081	61	confident	16	30	15	measured	Oral cavity and pharyngeal cancers	Genome-wide significant variants	14	AUROC=0.702 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000082	57	likely	12	30	15	measured	Ovarian cancer	Genome-wide significant variants	36	AUROC=0.656 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000083	65	confident	20	30	15	measured	Pancreatic cancer	Genome-wide significant variants	22	AUROC=0.745 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000084	64	confident	19	30	15	measured	Prostate cancer	Genome-wide significant variants	161	AUROC=0.740 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000086	68	confident	23	30	15	measured	Testicular cancer	Genome-wide significant variants	52	AUROC=0.783 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000087	59	likely	14	30	15	measured	Thyroid cancer	Genome-wide significant variants	12	AUROC=0.679 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000088	55	likely	10	30	15	partial	Basophil count	Regularized Regression (Elastic Net)	9121	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000089	55	likely	10	30	15	partial	Basophil percentage of white cells	Regularized Regression (Elastic Net)	5248	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000090	55	likely	10	30	15	partial	Eosinophil count	Regularized Regression (Elastic Net)	22949	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000091	55	likely	10	30	15	partial	Eosinophil percentage of white cells	Regularized Regression (Elastic Net)	24406	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000092	55	likely	10	30	15	partial	Hematocrit	Regularized Regression (Elastic Net)	28214	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000093	55	likely	10	30	15	partial	Hemoglobin concentration	Regularized Regression (Elastic Net)	25090	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000094	55	likely	10	30	15	partial	High light scatter reticulocyte count	Regularized Regression (Elastic Net)	25493	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000095	55	likely	10	30	15	partial	High light scatter reticulocyte percentage of red cells	Regularized Regression (Elastic Net)	21957	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000096	55	likely	10	30	15	partial	Immature fraction of reticulocytes	Regularized Regression (Elastic Net)	17850	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000097	55	likely	10	30	15	partial	Lymphocyte count	Regularized Regression (Elastic Net)	24646	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000098	55	likely	10	30	15	partial	Lymphocyte percentage of white cells	Regularized Regression (Elastic Net)	22363	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000099	55	likely	10	30	15	partial	Mean corpuscular hemoglobin	Regularized Regression (Elastic Net)	27081	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000100	55	likely	10	30	15	partial	Mean corpuscular hemoglobin concentration	Regularized Regression (Elastic Net)	11832	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000101	55	likely	10	30	15	partial	Mean corpuscular volume	Regularized Regression (Elastic Net)	25001	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000102	55	likely	10	30	15	partial	Monocyte count	Regularized Regression (Elastic Net)	28162	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000103	55	likely	10	30	15	partial	Monocyte percentage of white cells	Regularized Regression (Elastic Net)	22843	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000104	55	likely	10	30	15	partial	Mean platelet volume	Regularized Regression (Elastic Net)	25745	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000105	55	likely	10	30	15	partial	Neutrophil count	Regularized Regression (Elastic Net)	23864	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000106	55	likely	10	30	15	partial	Neutrophil percentage of white cells	Regularized Regression (Elastic Net)	22049	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000107	55	likely	10	30	15	partial	Platelet crit	Regularized Regression (Elastic Net)	30459	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000108	55	likely	10	30	15	partial	Platelet distribution width	Regularized Regression (Elastic Net)	25995	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000109	55	likely	10	30	15	partial	Platelet count	Regularized Regression (Elastic Net)	26683	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000110	55	likely	10	30	15	partial	Red blood cell count	Regularized Regression (Elastic Net)	23242	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000111	55	likely	10	30	15	partial	Reticulocyte count	Regularized Regression (Elastic Net)	26077	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000112	55	likely	10	30	15	partial	Reticulocyte fraction of red cells	Regularized Regression (Elastic Net)	25939	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000113	55	likely	10	30	15	partial	White blood cell count	Regularized Regression (Elastic Net)	28383	2 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000114	57	likely	19	23	15	measured	Juvenile Idiopathic Arthritis	SparSNP	26	AUROC=0.735 (4 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000115	61	confident	16	30	15	measured	LDL cholesterol	Established lipid loci	223	R²=0.0900 (4 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000116	69	confident	24	30	15	measured	Coronary artery disease	lassosum	40079	AUROC=0.781 (1 studies), 22 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000117	68	confident	23	30	15	measured	Cardiovascular disease	lassosum	297862	AUROC=0.768 (1 studies), 22 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000118	47	likely	9	23	15	measured	Melanoma	GWAS Catalog SNPs	29	AUROC=0.610 (2 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000119	49	likely	11	23	15	measured	Basal cell carcinoma	GWAS Catalog SNPs	32	AUROC=0.640 (2 studies)	gwas=5/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000120	52	likely	7	30	15	measured	Squamous cell carcinoma	Genome-wide significant variants	10	AUROC=0.590 (2 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000121	55	likely	10	30	15	partial	Bone mineral density (BMD)	Weighted sum of risk alleles	62	18 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000122	55	likely	10	30	15	partial	Bone mineral density (BMD)	Weighted sum of risk alleles (with random forest selection)	33	16 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000123	55	likely	10	30	15	partial	Parkinson's disease	Genome-wide significant variants	16	4 evals (no AUROC/R²/OR)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000124	57	likely	12	30	15	measured	Intraocular pressure	Genome-wide significant variants	103	AUROC=0.650 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000125	47	likely	21	11	15	measured	Type 2 diabetes (T2D)	Genome-wide significant variants	80	AUROC=0.761 (2 studies)	gwas=9/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000126	69	confident	24	30	15	measured	Serum urate	Genome-wide significant variants	114	AUROC=0.804 (3 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000127	49	likely	4	30	15	measured	HbA1c	GWAS	21	OR=1.00 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000128	24	discard	4	5	15	measured	HbA1c	GWAS	22	OR=0.98 (1 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000129	24	discard	4	5	15	measured	HbA1c	GWAS	17	OR=1.02 (1 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000130	49	likely	4	30	15	measured	HbA1c	GWAS	19	OR=1.05 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000131	24	discard	4	5	15	measured	HbA1c	GWAS	19	OR=1.00 (1 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000132	24	discard	4	5	15	measured	HbA1c	GWAS	19	OR=1.05 (1 studies)	gwas=3/12, eval=2/10, pop_eval=0/8	cov=?; Z=?
PGS000133	53	likely	8	30	15	measured	Schizophrenia	PRS-CS	604645	AUROC=0.600 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000134	53	likely	8	30	15	measured	Schizophrenia	PRS-CS	830589	AUROC=0.600 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000135	64	confident	19	30	15	measured	Schizophrenia	PRS-CS	972439	AUROC=0.740 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000136	56	likely	11	30	15	measured	Schizophrenia	PRS-CS	833502	AUROC=0.640 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000137	67	confident	22	30	15	measured	Glaucoma	Clumping and Thresholding (C+T)	2673	AUROC=0.750 (8 studies), 14 evals	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000138	50	likely	5	30	15	measured	Lifetime Major Depressive Disorder	LD-clumping and  p-value thresholding (Ricopilli)	22274	AUROC=0.561 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000139	49	likely	4	30	15	measured	Lifetime Major Depressive Disorder (with recurrence)	LD-clumping and  p-value thresholding (Ricopilli)	21980	AUROC=0.549 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000140	48	likely	3	30	15	measured	Broad Depression (seen a General Practitioner for nerves, anxiety, tension or depression)	LD-clumping and  p-value thresholding (Ricopilli)	24665	AUROC=0.532 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
PGS000141	47	likely	2	30	15	measured	Seen a psychiatrist for nerves, anxiety, tension or depression	LD-clumping and  p-value thresholding (Ricopilli)	22728	AUROC=0.530 (1 studies)	gwas=12/12, eval=10/10, pop_eval=8/8	cov=?; Z=?
